Year,Nominal GDP prices (Ksh Million),Annual GDP growth (%),Real GDP prices (Ksh Million)
2023,15108806.00,5.60,10399980.00
2022,13489642.00,4.90,9852583.00
2021,12027662.00,7.60,9395942.00
2020,10715070.00,-0.30,8733060.00
2019,10237727.00,5.10,8756946.00
2018,9340307.00,5.60,8330891.00
2017,8483396.00,3.80,7885521.00
2016,7594064.00,4.20,7594064.00
2015,6884317.00,5.00,7287024.00
2014,6003835.00,5.00,6942157.00
2013,5311322.00,3.80,6610312.00
2012,4767191.00,4.60,6368448.00
2011,4162514.00,5.10,6090206.00
2010,3597630.00,8.10,5793514.00
2009,3275642.00,2.70,5361462.00
2008,2107589.00,1.50,1357262.00
2007,1833511.00,6.90,1336849.00
2006,1622565.00,6.50,1249470.00
2005,1415823.00,5.70,1172784.00
2004,1274328.00,5.10,1109338.00
2003,1131783.00,2.90,1055658.00
2002,1035374.00,0.50,1025583.00
2001,1020022.00,3.80,1020111.00
2000,967838.00,0.00,982855.00
